               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,               1.288,              2.1634,              1.6547,             0.75071,             0.61355,             0.70452,             0.55791,             0.91425,              1.8517,              1.6027,            0.008812,            0.008812,            0.008812
                  38,              1.2672,              2.1037,              1.6111,             0.64271,             0.68656,             0.69206,             0.55151,             0.90659,              1.8064,              1.5816,            0.008779,            0.008779,            0.008779
                  39,              1.2365,               2.066,              1.6144,             0.61166,             0.57321,             0.61242,             0.47318,              1.0075,              2.3792,              1.6577,            0.008746,            0.008746,            0.008746
                  40,              1.2343,               2.037,              1.5933,             0.74661,             0.65304,             0.73916,             0.58648,             0.87391,              1.6019,              1.5342,            0.008713,            0.008713,            0.008713
                  41,               1.238,              2.0421,              1.6028,             0.70699,             0.68331,             0.74128,             0.60326,             0.83551,              1.5073,              1.5006,             0.00868,             0.00868,             0.00868
                  42,              1.2342,               1.998,              1.5932,             0.74487,             0.65801,             0.73395,             0.60836,             0.83116,              1.5583,              1.5032,            0.008647,            0.008647,            0.008647
                  43,              1.1966,              1.9035,              1.5699,             0.70719,             0.64685,             0.73281,             0.59133,             0.87064,              1.5982,              1.5465,            0.008614,            0.008614,            0.008614
                  44,              1.2073,              1.9632,              1.5988,             0.75066,             0.66028,             0.76208,             0.61448,             0.86901,              1.7789,              1.5254,            0.008581,            0.008581,            0.008581
                  45,              1.1985,              1.9265,               1.575,              0.7177,             0.73311,             0.76627,             0.61978,             0.83682,              1.5203,              1.5196,            0.008548,            0.008548,            0.008548
                  46,              1.1765,              1.8979,              1.5673,             0.68401,             0.63354,             0.70679,             0.56434,             0.88018,              1.7203,              1.5366,            0.008515,            0.008515,            0.008515
                  47,              1.1315,              1.8609,              1.5516,             0.72853,             0.73102,             0.79033,             0.64536,             0.81591,              1.3982,              1.4916,            0.008482,            0.008482,            0.008482
                  48,              1.1848,              1.8788,              1.5652,             0.76766,             0.72459,             0.78939,             0.65223,             0.80436,              1.3968,              1.4662,            0.008449,            0.008449,            0.008449
                  49,              1.1416,              1.8331,              1.5183,             0.78042,             0.67284,             0.79957,             0.66644,             0.74849,              1.3034,                1.41,            0.008416,            0.008416,            0.008416
                  50,              1.1425,              1.8486,              1.5195,             0.78206,             0.69648,             0.78132,             0.65469,             0.78646,              1.4056,              1.4476,            0.008383,            0.008383,            0.008383
                  51,               1.125,              1.8326,              1.5258,             0.79267,             0.71515,             0.80685,             0.67125,             0.78825,              1.3234,               1.442,             0.00835,             0.00835,             0.00835
                  52,              1.0838,              1.7483,               1.493,             0.77054,             0.71935,             0.79782,             0.66488,             0.76915,              1.2984,              1.4367,            0.008317,            0.008317,            0.008317
                  53,              1.0863,              1.7657,              1.4986,             0.68329,             0.77539,             0.79459,             0.65093,             0.76021,              1.3165,              1.4403,            0.008284,            0.008284,            0.008284
                  54,              1.0913,              1.7286,              1.4978,             0.76654,             0.71088,             0.80764,             0.67035,             0.72091,              1.3162,              1.3784,            0.008251,            0.008251,            0.008251
                  55,              1.0934,              1.6738,              1.4791,             0.73311,             0.74734,             0.81955,             0.69585,              0.7165,               1.179,              1.3843,            0.008218,            0.008218,            0.008218
                  56,              1.0549,              1.6555,              1.4763,             0.85215,             0.68905,             0.82482,             0.68491,             0.73456,              1.2645,              1.3819,            0.008185,            0.008185,            0.008185
                  57,              1.0696,              1.6847,              1.4985,             0.79654,             0.71495,             0.83479,             0.70051,             0.74128,              1.1756,              1.3943,            0.008152,            0.008152,            0.008152
                  58,              1.0611,              1.6312,              1.4777,             0.83309,             0.73071,             0.83303,             0.69719,             0.72795,               1.281,              1.3839,            0.008119,            0.008119,            0.008119
                  59,              1.0681,              1.6446,              1.4755,             0.80274,             0.75708,             0.84077,              0.7133,             0.68573,              1.1649,              1.3553,            0.008086,            0.008086,            0.008086
                  60,              1.0474,              1.5964,              1.4432,             0.79822,             0.75613,             0.83843,              0.7103,             0.70581,              1.1547,              1.3769,            0.008053,            0.008053,            0.008053
                  61,              1.0206,               1.619,              1.4542,             0.84493,             0.74865,             0.84695,              0.7082,             0.68898,              1.0797,              1.3465,             0.00802,             0.00802,             0.00802
                  62,              1.0475,              1.6208,              1.4502,             0.77482,             0.80044,             0.84084,             0.70584,             0.69992,               1.113,              1.3543,            0.007987,            0.007987,            0.007987
                  63,               1.013,              1.5869,              1.4633,             0.81878,             0.79758,             0.83797,             0.72115,             0.65107,              1.0971,              1.3131,            0.007954,            0.007954,            0.007954
                  64,               1.041,              1.6406,              1.4704,             0.78037,             0.75836,             0.84484,             0.72685,              0.6616,              1.0668,              1.3345,            0.007921,            0.007921,            0.007921
                  65,              1.0252,              1.5659,              1.4347,             0.79625,             0.77866,             0.85716,             0.73524,             0.66356,              1.1071,              1.3323,            0.007888,            0.007888,            0.007888
                  66,             0.98866,              1.5118,              1.4213,             0.83757,             0.75432,             0.84638,             0.73062,             0.65495,              1.0836,              1.3231,            0.007855,            0.007855,            0.007855
                  67,              0.9584,              1.4714,              1.4044,             0.84841,             0.74984,             0.86265,             0.73957,             0.64965,              1.0642,              1.3176,            0.007822,            0.007822,            0.007822
                  68,              1.0033,              1.5148,               1.438,             0.79684,             0.77549,             0.83739,             0.71347,             0.66504,              1.0359,               1.331,            0.007789,            0.007789,            0.007789
                  69,             0.99049,              1.4913,              1.4237,             0.85609,             0.76034,             0.85446,             0.73659,             0.64791,              1.0402,              1.3109,            0.007756,            0.007756,            0.007756
                  70,             0.95299,              1.4467,              1.3942,             0.76965,             0.81044,             0.86017,              0.7463,             0.62924,             0.98834,              1.2959,            0.007723,            0.007723,            0.007723
                  71,             0.98433,              1.5013,              1.4167,             0.83138,             0.78509,              0.8661,             0.75969,             0.63721,             0.99487,              1.3075,             0.00769,             0.00769,             0.00769
                  72,             0.98585,              1.4529,              1.4168,             0.84309,             0.76455,              0.8627,             0.74727,             0.63334,             0.99028,              1.3047,            0.007657,            0.007657,            0.007657
                  73,             0.95919,              1.4767,              1.4069,             0.83155,             0.78234,             0.87362,             0.74968,             0.64188,              1.0412,              1.3011,            0.007624,            0.007624,            0.007624
                  74,             0.95826,              1.4773,              1.4066,             0.83758,             0.80437,              0.8694,             0.75448,             0.62349,             0.96013,              1.2913,            0.007591,            0.007591,            0.007591
                  75,              0.9432,              1.4424,              1.3966,             0.87716,             0.79355,             0.88204,              0.7593,             0.63173,              0.9399,              1.2981,            0.007558,            0.007558,            0.007558
                  76,             0.96094,              1.4877,              1.4063,             0.84662,             0.76598,             0.86736,             0.75094,             0.60568,             0.98588,              1.2725,            0.007525,            0.007525,            0.007525
                  77,             0.95273,               1.451,              1.3895,             0.81212,             0.81897,             0.86622,             0.75699,             0.60639,             0.96269,              1.2782,            0.007492,            0.007492,            0.007492
                  78,             0.92802,              1.3789,              1.3707,             0.86147,              0.7649,             0.86469,             0.75488,             0.62898,             0.96567,              1.2826,            0.007459,            0.007459,            0.007459
                  79,             0.93437,              1.3851,              1.3773,             0.80963,             0.81533,             0.87099,             0.76311,             0.58677,             0.90278,              1.2564,            0.007426,            0.007426,            0.007426
                  80,             0.92868,              1.4263,              1.3815,             0.82707,             0.79885,             0.86712,             0.75362,             0.60652,             0.94353,              1.2796,            0.007393,            0.007393,            0.007393
                  81,             0.93832,              1.3701,              1.3782,             0.81176,             0.83439,             0.87748,             0.76419,             0.59405,             0.92375,              1.2613,             0.00736,             0.00736,             0.00736
                  82,             0.91743,              1.3781,              1.3771,             0.86987,             0.82123,             0.88409,             0.77107,             0.58935,             0.88228,              1.2601,            0.007327,            0.007327,            0.007327
                  83,             0.88027,              1.3646,              1.3635,             0.85198,             0.80668,              0.8712,             0.75494,             0.60635,             0.93033,              1.2746,            0.007294,            0.007294,            0.007294
                  84,             0.92011,              1.3785,              1.3678,             0.84508,              0.8598,             0.88881,             0.77465,             0.58488,              0.8949,              1.2648,            0.007261,            0.007261,            0.007261
                  85,             0.90824,              1.3509,              1.3592,             0.83702,             0.83689,             0.88341,             0.78847,             0.57819,             0.86822,              1.2579,            0.007228,            0.007228,            0.007228
                  86,             0.92297,              1.3159,              1.3665,             0.82154,             0.85888,             0.88882,             0.79069,              0.5781,             0.88275,              1.2456,            0.007195,            0.007195,            0.007195
                  87,             0.91664,              1.3308,              1.3568,             0.88544,             0.78494,             0.89079,              0.7883,             0.57932,             0.89596,               1.247,            0.007162,            0.007162,            0.007162
                  88,             0.89465,              1.3244,               1.346,             0.87128,             0.84224,             0.88257,             0.77432,             0.58783,             0.87157,              1.2587,            0.007129,            0.007129,            0.007129
                  89,             0.91794,              1.3324,              1.3574,             0.86847,             0.81131,             0.88046,             0.77859,             0.58395,             0.85605,              1.2538,            0.007096,            0.007096,            0.007096
                  90,             0.89179,              1.2796,              1.3601,             0.86846,             0.79343,             0.88484,             0.78102,             0.59475,             0.87299,              1.2566,            0.007063,            0.007063,            0.007063
                  91,             0.87777,              1.2897,              1.3221,             0.89328,              0.7841,             0.88824,             0.78268,              0.5716,             0.83021,              1.2517,             0.00703,             0.00703,             0.00703
                  92,             0.90416,              1.2746,              1.3603,             0.82581,              0.8579,              0.8953,             0.78961,             0.55459,             0.80451,              1.2311,            0.006997,            0.006997,            0.006997
                  93,             0.88128,              1.2766,              1.3385,             0.82167,             0.84968,             0.87369,             0.76939,             0.54122,             0.83953,              1.2217,            0.006964,            0.006964,            0.006964
                  94,             0.87728,              1.2593,              1.3251,             0.85751,             0.84122,             0.89142,             0.78307,             0.56525,             0.87733,              1.2424,            0.006931,            0.006931,            0.006931
                  95,             0.87765,              1.2745,              1.3342,             0.82748,             0.81859,             0.87192,             0.77306,             0.55835,              0.8632,              1.2384,            0.006898,            0.006898,            0.006898
                  96,             0.87378,               1.267,              1.3416,             0.86868,             0.79585,              0.8772,              0.7762,             0.54881,             0.86489,              1.2254,            0.006865,            0.006865,            0.006865
                  97,             0.86287,              1.2754,              1.3341,             0.80743,             0.86399,             0.89443,             0.79918,             0.55404,              0.8214,              1.2328,            0.006832,            0.006832,            0.006832
                  98,             0.86322,              1.2244,              1.3253,             0.85778,             0.86083,             0.91022,              0.8131,             0.54888,             0.80169,              1.2274,            0.006799,            0.006799,            0.006799
                  99,             0.83515,              1.2352,              1.3153,             0.86105,             0.84549,             0.91311,              0.8215,             0.54314,             0.79801,               1.225,            0.006766,            0.006766,            0.006766
                 100,             0.85911,              1.2478,              1.3388,             0.85153,             0.83661,             0.90724,             0.79741,             0.55223,             0.84359,              1.2298,            0.006733,            0.006733,            0.006733
                 101,             0.83951,              1.2472,              1.3349,             0.86334,             0.88611,             0.91536,              0.8102,              0.5318,             0.81138,              1.2229,              0.0067,              0.0067,              0.0067
                 102,             0.84014,              1.2285,              1.3351,             0.87607,              0.8714,             0.91902,             0.81543,             0.53196,             0.77661,              1.2127,            0.006667,            0.006667,            0.006667
                 103,             0.85431,              1.2526,              1.3309,             0.88908,             0.83161,             0.89481,              0.8016,              0.5383,             0.86444,              1.2139,            0.006634,            0.006634,            0.006634
                 104,              0.8341,              1.2043,              1.3222,             0.87496,             0.84338,             0.90607,             0.80929,             0.52213,             0.78889,              1.2021,            0.006601,            0.006601,            0.006601
                 105,             0.84344,              1.2034,              1.3215,             0.86782,             0.84162,             0.89613,             0.80768,             0.53569,             0.80079,              1.2171,            0.006568,            0.006568,            0.006568
                 106,             0.82503,              1.1752,               1.305,             0.86138,             0.84724,             0.91311,             0.81597,             0.51685,             0.75407,              1.1914,            0.006535,            0.006535,            0.006535
                 107,             0.82906,              1.1663,              1.2958,             0.87843,             0.78507,             0.90429,             0.81182,             0.51436,             0.77487,              1.1907,            0.006502,            0.006502,            0.006502
                 108,             0.83924,              1.2194,              1.3233,             0.85932,             0.84363,             0.90962,              0.8147,             0.51722,             0.75715,              1.2017,            0.006469,            0.006469,            0.006469
                 109,             0.84327,              1.1767,              1.3098,             0.82727,             0.87591,             0.90157,             0.81048,             0.50889,              0.7638,               1.194,            0.006436,            0.006436,            0.006436
                 110,             0.81934,              1.1576,              1.2952,             0.83635,             0.87811,             0.92163,               0.831,             0.51748,             0.75418,              1.2045,            0.006403,            0.006403,            0.006403
                 111,             0.81347,              1.1584,              1.2976,             0.89707,             0.83231,             0.91092,             0.81559,             0.50403,             0.72375,              1.1844,             0.00637,             0.00637,             0.00637
                 112,             0.79909,              1.1244,              1.2849,             0.86344,             0.85452,             0.90361,             0.82754,             0.48788,               0.742,              1.1756,            0.006337,            0.006337,            0.006337
                 113,             0.81259,              1.1734,              1.3006,             0.85985,             0.85047,             0.90654,             0.81568,             0.49518,             0.72051,              1.1863,            0.006304,            0.006304,            0.006304
                 114,             0.82278,              1.1597,              1.3158,             0.89082,             0.87581,             0.90831,             0.82894,             0.50314,             0.73118,              1.1875,            0.006271,            0.006271,            0.006271
                 115,             0.81407,              1.1161,              1.2848,             0.88647,              0.8745,             0.91583,             0.83278,             0.48851,             0.70924,              1.1749,            0.006238,            0.006238,            0.006238
                 116,             0.77419,              1.1151,              1.2865,             0.89647,             0.84835,             0.91374,             0.82675,             0.48525,             0.70402,              1.1695,            0.006205,            0.006205,            0.006205
                 117,             0.80165,              1.1316,              1.3094,             0.86086,             0.89181,             0.91993,             0.82494,             0.50737,             0.73389,              1.2013,            0.006172,            0.006172,            0.006172
                 118,             0.81277,              1.1639,              1.3025,              0.8785,             0.88442,             0.91623,              0.8266,             0.48286,             0.75047,              1.1721,            0.006139,            0.006139,            0.006139
