               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.8775,              7.2412,               3.763,          0.00016908,            0.020053,          0.00014129,          3.2437e-05,                   0,                   0,                   0,             0.07009,           0.0033233,           0.0033233
                   1,              3.8004,              7.3674,               3.689,          0.00025339,             0.05842,          0.00061174,          0.00010314,                   0,                   0,                   0,            0.039958,           0.0065249,           0.0065249
                   2,              3.7743,              7.2309,              3.6624,          0.00060659,            0.057598,          0.00065407,          0.00019556,                   0,                   0,                   0,           0.0096945,           0.0095944,           0.0095944
                   3,              3.7165,               7.214,              3.5584,           0.0004746,            0.058954,          0.00034018,          6.4918e-05,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   4,              3.6554,              7.2015,              3.5537,          0.00040501,            0.015171,           0.0013535,          0.00050349,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   5,              3.5694,              7.2003,              3.4882,          0.00045231,            0.017399,          0.00031444,           0.0001037,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                   6,              3.6214,               6.783,              3.4268,             0.53991,            0.027244,           0.0022956,          0.00095432,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   7,              3.2252,              6.2424,              3.0636,             0.48826,            0.022589,            0.020896,           0.0083919,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   8,              2.8236,              5.6552,              2.6847,             0.38314,             0.11192,            0.051943,            0.031498,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                   9,              2.4794,              5.2134,              2.4151,             0.51251,             0.17868,             0.16175,             0.10937,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  10,              2.2697,              4.8103,              2.2591,                0.34,             0.26365,             0.20242,             0.14525,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  11,              2.1387,              4.4919,              2.1314,             0.36903,             0.27526,             0.18813,             0.14869,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  12,              1.9643,              4.2832,              1.9937,             0.46633,             0.28502,             0.21594,             0.17314,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  13,              1.8812,               4.106,              1.9516,             0.48153,             0.32444,             0.27881,             0.23155,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  14,              1.8051,              3.9308,              1.8828,             0.49991,             0.30327,             0.24113,             0.19883,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  15,              1.7364,               3.882,              1.8392,             0.36966,             0.40935,             0.30923,             0.23814,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  16,              1.7254,              3.7982,              1.8236,             0.41364,             0.37496,             0.34662,             0.27777,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  17,              1.6172,              3.6431,              1.7385,             0.49765,             0.38164,             0.35708,             0.30222,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  18,              1.6258,              3.5978,              1.7679,             0.54608,             0.45923,             0.38518,             0.31916,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  19,              1.5185,              3.4024,              1.7205,             0.48503,             0.48762,             0.46282,             0.38647,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  20,              1.5224,              3.2883,              1.6846,             0.55528,              0.4557,             0.46346,              0.3863,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  21,              1.4873,              3.2494,              1.6787,             0.70644,             0.37971,             0.48504,             0.40557,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  22,              1.4444,              3.1856,              1.6481,             0.57758,             0.50125,             0.51542,             0.44016,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  23,              1.3588,              3.0534,              1.5905,             0.53125,             0.48931,             0.51647,             0.43136,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  24,               1.375,              3.0651,              1.5989,              0.6251,             0.48968,              0.5289,             0.45743,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  25,              1.3856,               3.178,              1.6059,             0.71889,             0.46868,             0.55351,             0.47604,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  26,              1.3985,              2.9219,               1.592,             0.74981,             0.47995,             0.56294,             0.48116,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  27,              1.3904,              2.9177,              1.6176,             0.63693,              0.4827,             0.57218,             0.48638,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  28,              1.3447,              2.8974,              1.5852,             0.71844,             0.54758,             0.61749,             0.52906,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  29,              1.2842,              2.8139,              1.5487,             0.67463,             0.48892,             0.57787,             0.50152,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  30,              1.2998,              2.7251,              1.5466,             0.55649,             0.61003,              0.6236,             0.53621,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  31,              1.2237,              2.5409,              1.5102,             0.72908,             0.53305,             0.64355,             0.56269,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  32,              1.2325,              2.6326,              1.5262,              0.7327,             0.59313,             0.64647,             0.56167,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  33,              1.1882,              2.4965,              1.4647,             0.68351,             0.58454,             0.64495,             0.56634,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  34,              1.1723,              2.4085,              1.4775,             0.73529,             0.61114,             0.67206,             0.58928,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  35,              1.1789,              2.3681,              1.4774,             0.74351,             0.59978,             0.67467,             0.59015,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  36,              1.1733,              2.3104,                1.46,             0.75344,             0.61692,             0.66357,             0.57553,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  37,              1.1814,               2.387,              1.4674,             0.72175,             0.60369,             0.66425,              0.5816,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  38,              1.1569,              2.3535,              1.4594,             0.71571,             0.64913,             0.67505,             0.59781,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  39,              1.1587,              2.2795,               1.468,             0.81788,             0.61483,             0.68723,             0.60373,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  40,              1.1735,              2.2933,              1.4465,             0.79784,              0.6568,             0.72641,             0.64218,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  41,              1.1499,              2.2398,              1.4489,             0.77729,             0.63461,             0.72808,             0.62488,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  42,              1.1164,              2.2018,              1.4322,              0.7977,             0.66028,             0.70473,             0.61859,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  43,              1.0462,              2.1372,              1.4211,             0.75617,             0.68832,             0.73085,             0.65168,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  44,              1.0946,               2.047,              1.4074,             0.85539,             0.65746,             0.75706,             0.65643,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  45,              1.0669,              2.1274,              1.4006,             0.83736,             0.68887,             0.77642,             0.67589,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  46,              1.0563,              2.0119,              1.3992,             0.90538,             0.60982,             0.76143,             0.67456,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  47,              1.0132,              1.9751,              1.3884,             0.90977,             0.62629,             0.76745,             0.68596,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  48,              1.0085,              1.9329,              1.3682,             0.87465,             0.65366,             0.77414,             0.69165,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  49,              1.0399,              2.0291,              1.3753,             0.88551,             0.66029,             0.76875,             0.68252,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
